EndToEndId,TxnId,OriginalRef,CreditorAcct,Amount,Currency,TxnDateTime,Direction,Status
E2E-20260913-000001,TXN-0001,,0079-012-345,125.500,JOD,20260913101500,Inward,ACSC
E2E-20260913-000002,TXN-0002,,0079-012-346,48.000,JOD,20260913102000,Inward,ACSC
E2E-20260913-000003,TXN-0003,,0079-012-347,1500.000,JOD,20260913103000,Outward,ACSC
e2e-20260913 000004,TXN-0004,,0079-012-348,75.250,JOD,20260913104000,Inward,ACSC
E2E-20260913-000005,TXN-0005,,0079-012-349,200.000,JOD,20260913105000,Outward,ACSC
E2E-20260913-000006,TXN-0006,,0079-012-350,310.750,JOD,20260913110000,Inward,RJCT
E2E-20260913-000007,TXN-0007,,0079-012-351,90.000,JOD,20260913111000,Inward,ACSC
E2E-20260913-000007,TXN-0008,,0079-012-352,90.000,JOD,20260913112000,Inward,ACSC
E2E-20260913-000009,TXN-0009,,0079-012-353,640.000,JOD,20260913113000,Outward,ACSC
E2E-20260913-000010,TXN-0010,,0079-012-354,55.125,JOD,20260913114000,Inward,ACSC
E2E-20260913-000011,TXN-0011,,0079-012-355,1200.000,JOD,20260913115000,Outward,ACSC
E2E-20260913-000012,TXN-0012,,0079-012-356,17.500,JOD,20260913120000,Inward,ACSC
E2E-20260913-000013,TXN-0013,,0079-012-357,880.000,JOD,20260913121000,Outward,ACSC
E2E-20260913-000014,TXN-0014,,0079-012-358,42.000,JOD,20260913122000,Inward,ACSC
E2E-20260913-000015,TXN-9915,,0079-012-359,333.333,JOD,20260913123000,Inward,ACSC
E2E-20260913-000016,TXN-0016,,0079-012-360,66.000,JOD,20260913124000,Inward,ACSC
E2E-20260913-000017,TXN-0017,,0079-012-361,not-a-number,JOD,20260913125000,Inward,ACSC
E2E-20260913-000018,TXN-0018,,0079-012-362,410.000,JOD,20260912235500,Inward,ACSC
E2E-20260913-000019,TXN-0019,,0079-012-363,265.000,JOD,20260913130000,Inward,ACSC
E2E-20260913-000020,TXN-0020,,0079-012-364,999.000,JOD,20260913131000,Outward,ACSC
