Reference,ExternalRef,Account,Amount,Currency,PostedAt,Direction,Status
E2E-20260913-000001,,0079012345,125.500,JOD,2026-09-13 10:15:02,Inward,POSTED
E2E-20260913-000002,,0079012346,48.000,JOD,2026-09-13 10:20:01,Inward,POSTED
E2E-20260913-000003,,0079012347,1500.000,JOD,2026-09-13 10:30:04,Outward,POSTED
E2E-20260913-000004,,0079012348,75.250,JOD,2026-09-13 10:40:00,Inward,POSTED
E2E-20260913-000005,,0079012349,200.000,JOD,2026-09-13 10:50:03,Outward,POSTED
E2E-20260913-000007,,0079012351,90.000,JOD,2026-09-13 11:10:02,Inward,POSTED
E2E-20260913-000009,,0079012353,640.000,JOD,2026-09-13 11:30:01,Outward,POSTED
E2E-20260913-000010,,0079012354,55.125,JOD,2026-09-13 11:40:02,Inward,POSTED
E2E-20260913-000011,,0079012355,1200.000,JOD,2026-09-13 11:50:00,Outward,POSTED
E2E-20260913-000012,,0079012356,17.500,JOD,2026-09-13 12:00:01,Inward,POSTED
E2E-20260913-000013,,0079012357,880.000,JOD,2026-09-13 12:10:03,Outward,POSTED
E2E-20260913-000014,,0079012358,42.000,JOD,2026-09-13 12:20:00,Inward,POSTED
OM-77812004501,TXN-9915,0079012359,333.333,JOD,2026-09-13 12:30:05,Inward,POSTED
E2E-20260913-000016,,0079012360,66.000,JOD,2026-09-13 12:40:02,Inward,POSTED
E2E-20260913-000018,,0079012362,410.000,JOD,2026-09-13 00:05:00,Inward,POSTED
OM-77812004502,,0079012399,720.000,JOD,2026-09-13 13:00:00,Inward,POSTED
